"Parasitic jaeger, Stercorarius parasiticus",
"Long-tailed jaeger, Stercorarius longicaudus (R)",
"Dovekie, Alle alle (R)",
"Razorbill, Alca torda",
"Black-legged kittiwake, Rissa tridactyla (R)",
"Ivory gull, Pagophila eburnea (R)",
"Sabine's gull, Xema sabini (R)",
"Bonaparte's gull, Chroicocephalus philadelphia",
"Black-headed gull, Chroicocephalus ridibundus (R)",
"Little gull, Hydrocoleus minutus (R)",
"Laughing gull, Leucophaeus atricilla",
"Franklin's gull, Leucophaeus pipixcan",
"Ring-billed gull, Larus delawarensis",
"California gull, Larus californicus (R)",
"Herring gull, Larus argentatus",
"Iceland gull, Larus glaucoides (R)",
"Lesser black-backed gull, Larus fuscus",
"Glaucous gull, Larus hyperboreus",
"Great black-backed gull, Larus marinus",
"Brown noddy, Anous stolidus (R)",
"Sooty tern, Onychoprion fuscata",
"Bridled tern, Onychoprion anaethetus",
"Least tern, Sternula antillarum",
"Gull-billed tern, Gelochelidon nilotica",
"Caspian tern, Hydroprogne caspia",
"Black tern, Chlidonias niger",
"White-winged tern, Chlidonias leucopterus (P)",
"Roseate tern, Sterna dougallii (P)",
"Common tern, Sterna hirundo",
"Arctic tern, Sterna paradisaea (R)",
"Forster's tern, Sterna forsteri",
"Royal tern, Thalasseus maxima",
"Sandwich tern, Thalasseus sandvicensis",
"Black skimmer, Rynchops niger",
"White-tailed tropicbird, Phaethon lepturus (R)",
"Red-billed tropicbird, Phaeton aethereus (R)",
"Red-throated loon, Gavia stellata",
"Pacific loon, Gavia pacifica (R)",
"Common loon, Gavia immer",
"Yellow-billed loon, Gavia adamsii (R)",
"Wilson's storm-petrel, Oceanites oceanicus",
"Leach's storm-petrel, Hydrobates leucorhous (R)",
"Band-rumped storm-petrel, Hydrobates castro (R)",
"Northern fulmar, Fulmarus glacialis (P)",
"Black-capped petrel, Pterodoma hasitata",
"Cory's shearwater, Calonectris diomedea",
"Sooty shearwater, Ardenna griseus (R)",
"Great shearwater, Ardenna gravis",
"Manx shearwater, Puffinus puffinus",
"Audubon's shearwater, Puffinus lherminieri",
"Wood stork, Mycteria americana",
"Magnificent frigatebird, Fregata magnificens",
"Masked booby, Sula dactylatra (R)",
"Brown booby, Sula leucogaster (R)",
"Red-footed booby, Sula sula (R)",
"Northern gannet, Morus bassanus",
"Anhinga, Anhinga anhinga",
"Great cormorant, Phalacrocorax carbo (R)",
"Double-crested cormorant, Nannopterum auritum",
"American white pelican, Pelecanus erythrorhynchos",
"Brown pelican, Pelecanus occidentalis",
"American bittern, Botaurus lentiginosus",
"Least bittern, Ixobrychus exilis",
"Great blue heron, Ardea herodias",
"Great egret, Ardea alba",
"Snowy egret, Egretta thula",
"Little blue heron, Egretta caerulea",
"Tricolored heron, Egretta tricolor",
"Reddish egret, Egretta rufescens",
"Cattle egret, Bubulcus ibis",
"Green heron, Butorides virescens",
"Black-crowned night-heron, Nycticorax nycticorax",
"Yellow-crowned night-heron, Nyctanassa violacea",
"White ibis, Eudocimus albus",
"Glossy ibis, Plegadis falcinellus",
"White-faced ibis, Plegadis chihi (R)",
"Roseate spoonbill, Platalea ajaja",
"Black vulture, Coragyps atratus",
"Turkey vulture, Cathartes aura",
"Osprey, Pandion haliaetus",
"Swallow-tailed kite, Elanoides forficatus",
"Golden eagle, Aquila chrysaetos",
"Northern harrier, Circus hudsonius",
"Sharp-shinned hawk, Accipiter striatus",
"Cooper's hawk, Accipiter cooperii",
"Northern goshawk, Accipiter gentilis (R)",
"Bald eagle, Haliaeetus leucocephalus",
"Mississippi kite, Ictinia mississippiensis",
"Red-shouldered hawk, Buteo lineatus",
"Short-tailed hawk, Buteo brachyurus (R)",
"Broad-winged hawk, Buteo platypterus",
"Swainson's hawk, Buteo swainsoni (P)",
"Red-tailed hawk, Buteo jamaicensis",
"Rough-legged hawk, Buteo lagopus (R)",
"Barn owl, Tyto alba",
"Eastern screech-owl, Megascops asio",
"Great horned owl, Bubo virginianus",
"Snowy owl, Bubo scandiacus (R)",
"Burrowing owl, Athene cunicularia (R)",
"Barred owl, Strix varia",
"Long-eared owl, Asio otus (R)",
"Short-eared owl, Asio flammeus",
"Northern saw-whet owl, Aegolius acadicus (R)",
"Belted kingfisher, Megaceryle alcyon",
"Red-headed woodpecker, Melanerpes erythrocephalus",
"Red-bellied woodpecker, Melanerpes carolinus",
"Yellow-bellied sapsucker, Sphyrapicus varius",
"Downy woodpecker, Dryobates pubescens",
"Red-cockaded woodpecker, Dryobates borealis",
"Hairy woodpecker, Dryobates villosus",
"Northern flicker, Colaptes auratus",
"Pileated woodpecker, Dryocopus pileatus",
"Ivory-billed woodpecker, Campephilus principalis (R) (E?) [note 1]",
"Crested caracara, Caracara plancus (R)",
"American kestrel, Falco sparverius",
"Merlin, Falco columbarius",
"Peregrine falcon, Falco peregrinus",
"Ash-throated flycatcher, Myiarchus cinerascens (R)",
"Great crested flycatcher, Myiarchus crinitus",
"Tropical kingbird, Tyrannus melancholicus (R)",
"Western kingbird, Tyrannus verticalis",
"Eastern kingbird, Tyrannus tyrannus",
"Gray kingbird, Tyrannus dominicensis",
"Scissor-tailed flycatcher, Tyrannus forficatus",
"Olive-sided flycatcher, Contopus cooperi",
"Eastern wood-pewee, Contopus virens",
"Yellow-bellied flycatcher, Empidonax flaviventris",
"Acadian flycatcher, Empidonax virescens",
"Alder flycatcher, Empidonax alnorum",
"Willow flycatcher, Empidonax traillii",
"Least flycatcher, Empidonax minimus",
"Dusky flycatcher, Empidonax oberholseri (R)",
"Eastern phoebe, Sayornis phoebe",
"Say's phoebe, Sayornis saya (R)",
"White-eyed vireo, Vireo griseus",
"Bell's vireo, Vireo bellii (R)",
"Yellow-throated vireo, Vireo flavifrons",
"Blue-headed vireo, Vireo solitarius",
"Philadelphia vireo, Vireo philadelphicus",
"Warbling vireo, Vireo gilvus",
"Red-eyed vireo, Vireo olivaceus",
"Loggerhead shrike, Lanius ludovicianus",
"Blue jay, Cyanocitta cristata",
"Florida scrub-jay, Aphelocoma coerulescens (R)",
"American crow, Corvus brachyrhynchos",
"Fish crow, Corvus ossifragus",
"Common raven, Corvus corax",
"Carolina chickadee, Poecile carolinensis",
"Tufted titmouse, Baeolophus bicolor",
"Horned lark, Eremophila alpestris",
"Bank swallow, Riparia riparia",
"Tree swallow, Tachycineta bicolor",
"Northern rough-winged swallow, Stelgidopteryx serripennis",
"Purple martin, Progne subis",
"Barn swallow, Hirundo rustica",
"Cliff swallow, Petrochelidon pyrrhonota",
"Cave swallow, Petrochelidon fulva (R)",
"Ruby-crowned kinglet, Corthylio calendula",
"Golden-crowned kinglet, Regulus satrapa",
"Cedar waxwing, Bombycilla cedrorum",
"Red-breasted nuthatch, Sitta canadensis",
"White-breasted nuthatch, Sitta carolinensis",
"Brown-headed nuthatch, Sitta pusilla",
"Brown creeper, Certhia americana",
"Blue-gray gnatcatcher, Polioptila caerulea",
"House wren, Troglodytes aedon",
"Winter wren, Troglodytes hyemalis",
"Sedge wren, Cistothorus platensis",
"Marsh wren, Cistothorus palustris",
"Carolina wren, Thryothorus ludovicianus",
"Bewick's wren, Thryomanes bewickii (R)",
"Gray catbird, Dumetella carolinensis",
"Brown thrasher, Toxostoma rufum",
"Sage thrasher, Oreoscoptes montanus (R)",
"Northern mockingbird, Mimus polyglottos",
"European starling, Sturnus vulgaris (I)",
"Eastern bluebird, Sialia sialis",
"Mountain bluebird, Sialia currucoides (R)",
"Veery, Catharus fuscescens",
"Gray-cheeked thrush, Catharus minimus",
"Bicknell's thrush, Catharus bicknelli (R)",
"Swainson's thrush, Catharus ustulatus",
"Hermit thrush, Catharus guttatus",
"Wood thrush, Hylocichla mustelina",
"American robin, Turdus migratorius",
"Varied thrush, Ixoreus naevius (R)",
"Northern wheatear, Oenanthe oenanthe (R)",
"House sparrow, Passer domesticus (I)",
"American pipit, Anthus rubescens",
"Sprague's pipit, Anthus spragueii (R)",
"Evening grosbeak, Coccothraustes vespertinus (R)",
"House finch, Haemorhous mexicanus (native to the southwestern U.S.; introduced in the east)",
"Common redpoll, Acanthis flammea (R)",
"Purple finch, Haemorhous purpureus",
"Red crossbill, Loxia curvirostra",
"White-winged crossbill, Loxia leucoptera (R)",
"Pine siskin, Spinus pinus",
"American goldfinch, Spinus tristis",
"Lapland longspur, Calcarius lapponicus",
"Smith's longspur, Calcarius pictus (R)",
"Thick-billed longspur, Rhynchophanes mccownii (R)",
"Snow bunting, Plectrophenax nivalis (R)",
"Bachman's sparrow, Peucaea aestivalis",
"Grasshopper sparrow, Ammodramus savannarum",
"Lark sparrow, Chondestes grammacus",
"Lark bunting, Calamospiza melanocorys (R)",
"Chipping sparrow, Spizella passerina",
"Clay-colored sparrow, Spizella pallida",
"Field sparrow, Spizella pusilla",
"Fox sparrow, Passerella iliaca",
"American tree sparrow, Spizelloides arborea (R)",
"Dark-eyed junco, Junco hyemalis",
"White-crowned sparrow, Zonotrichia leucophrys",
"Harris's sparrow, Zonotrichia querula (R)",
"White-throated sparrow, Zonotrichia albicollis",
"Vesper sparrow, Pooecetes gramineus",
"LeConte's sparrow, Ammospiza leconteii",
"Seaside sparrow, Ammospiza maritima",
"Nelson's sparrow, Ammospiza nelsoni",
"Saltmarsh sparrow, Ammospiza caudacta",
"Henslow's sparrow, Centronyx henslowii",
"Savannah sparrow, Passerculus sandwichensis",
"Song sparrow, Melospiza melodia",
"Lincoln's sparrow, Melospiza lincolnii",
"Swamp sparrow, Melospiza georgiana",
"Green-tailed towhee, Pipilo chlorurus (R)",
"Spotted towhee, Pipilo maculatus (R)",
"Eastern towhee, Pipilo erythrophthalmus",
"Yellow-breasted chat, Icteria virens",
"Yellow-headed blackbird, Xanthocephalus xanthocephalus",
"Bobolink, Dolichonyx oryzivorus",
"Eastern meadowlark, Sturnella magna",
"Western meadowlark, Sturnella neglecta (R)",
"Orchard oriole, Icterus spurius",
"Bullock's oriole, Icterus bullockii (R)",
"Baltimore oriole, Icterus galbula",
"Scott's oriole, Icterus parisorum (R)",
"Red-winged blackbird, Agelaius phoeniceus",
"Shiny cowbird, Molothrus bonariensis (R)",
"Brown-headed cowbird, Molothrus ater",
"Rusty blackbird, Euphagus carolinus",
"Brewer's blackbird, Euphagus cyanocephalus",
"Common grackle, Quiscalus quiscula",
"Boat-tailed grackle, Quiscalus major",
"Ovenbird, Seiurus aurocapilla",
"Worm-eating warbler, Helmitheros vermivorum",
"Louisiana waterthrush, Parkesia motacilla",
"Northern waterthrush, Parkesia noveboracensis",
"Golden-winged warbler, Vermivora chrysoptera",
"Blue-winged warbler, Vermivora cyanoptera",
"Black-and-white warbler, Mniotilta varia",
"Prothonotary warbler, Protonotaria citrea",
"Swainson's warbler, Limnothlypis swainsonii",
"Tennessee warbler, Leiothlypis peregrina",
"Orange-crowned warbler, Leiothlypis celata",
"Nashville warbler, Leiothlypis ruficapilla",
"Virginia's warbler, Leiothlypis virginiae (R)",
"Connecticut warbler, Oporornis agilis",
"MacGillivray's warbler, Geothlypis tolmiei (R)",
"Mourning warbler, Geothlypis philadelphia",
"Kentucky warbler, Geothlypis formosa",
"Common yellowthroat, Geothlypis trichas",
"Hooded warbler, Setophaga citrina",
"American redstart, Setophaga ruticilla",
"Kirtland's warbler, Setophaga kirtlandii (R)",
"Cape May warbler, Setophaga tigrina",
"Cerulean warbler, Setophaga cerulea",
"Northern parula, Setophaga americana",
"Magnolia warbler, Setophaga magnolia",
"Bay-breasted warbler, Setophaga castanea",
"Blackburnian warbler, Setophaga fusca",
"Yellow warbler, Setophaga petechia",
"Chestnut-sided warbler, Setophaga pensylvanica",
"Blackpoll warbler, Setophaga striata",
"Black-throated blue warbler, Setophaga caerulescens",
"Palm warbler, Setophaga palmarum",
"Pine warbler, Setophaga pinus",
"Yellow-rumped warbler, Setophaga coronata",
"Yellow-throated warbler, Setophaga dominica",
"Prairie warbler, Setophaga discolor",
"Black-throated gray warbler, Setophaga nigrescens (R)",
"Townsend's warbler, Setophaga townsendi (R)",
"Black-throated green warbler, Setophaga virens",
"Canada warbler, Cardellina canadensis",
"Wilson's warbler, Cardellina pusilla",
"Red-faced warbler, Cardellina rubrifrons (R)",
"Painted redstart, Myioborus pictus (P)",
"Summer tanager, Piranga rubra",
"Scarlet tanager, Piranga olivacea",
"Western tanager, Piranga ludoviciana",
"Northern cardinal, Cardinalis cardinalis",
"Rose-breasted grosbeak, Pheucticus ludovicianus",
"Black-headed grosbeak, Pheucticus melanocephalus (R)",
"Blue grosbeak, Passerina caerulea",
"Indigo bunting, Passerina cyanea",
"Lazuli bunting, Passerina amoena (R)",
"Painted bunting, Passerina ciris",
"Dickcissel, Spiza americana",
